epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3696.36,1.14238,0.90373,1.01043,0.71729,0.65245,0.6886,0.47755,1.06961,0.88098,0.98278,0.00055338,0.00055338,0.00055338
2,7343.48,1.10324,0.72086,0.98971,0.78095,0.65597,0.73019,0.53059,0.97672,0.80846,0.95889,0.000743061,0.000743061,0.000743061
3,11410.8,1.02999,0.64822,0.96596,0.79922,0.72119,0.78076,0.6004,0.87637,0.71005,0.93201,0.000566003,0.000566003,0.000566003
