epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.65545,1.7454,4.9397,1.60061,0,0,0,0,2.90589,6.17069,2.67276,0,0,0
2,5.62574,1.65098,5.03286,1.69279,0,0,0,0,2.96432,6.13744,2.64627,1.17822e-06,1.17822e-06,1.17822e-06
